Age (kyr BP)	frequency-dependence susceptibility/Hematite
80.524	0.877
80.692	0.688
80.859	0.855
81.026	0.841
81.194	0.879
81.363	1.014
81.531	1.714
81.700	1.035
81.869	1.521
82.037	0.893
82.204	0.713
82.365	0.771
82.527	0.864
82.688	1.484
82.849	0.482
83.010	0.597
83.175	0.885
83.348	0.348
83.522	0.476
83.695	0.490
83.828	1.035
83.961	0.868
84.094	0.870
84.224	0.739
84.351	0.472
84.479	0.640
84.607	0.961
84.734	0.216
84.862	0.487
84.989	0.806
85.117	0.879
85.242	0.764
85.367	0.529
85.492	0.865
85.616	0.473
85.741	0.586
85.865	0.636
85.990	0.743
86.114	0.602
86.243	0.518
86.373	0.618
86.503	0.651
86.632	0.900
86.762	0.819
86.892	1.115
87.022	2.362
87.151	2.442
87.284	0.832
87.417	0.416
87.550	0.272
87.682	0.221
87.815	0.225
87.948	2.831
88.081	1.813
88.213	1.069
88.342	0.402
88.472	0.254
88.602	0.358
88.732	0.377
88.861	0.499
89.093	0.654
89.194	0.478
89.296	0.499
89.399	0.268
89.501	NaN
89.603	0.316
89.706	0.103
89.808	NaN
90.013	0.299
90.115	0.376
90.217	0.248
90.319	NaN
90.421	NaN
90.523	NaN
90.625	NaN
90.727	0.461
